"campaign_type","class_of_mail","days_to_response","n","mean_daily_resp_rate","mean_pct_resp","n_daily_resp","mean_cum_rr"
"bau","1st",0,715,0.000193911142564259,0.0168781107664336,918.844350124643,0.0168781107664336
"bau","1st",1,715,0.000193108146359598,0.0153624143678322,836.329838184783,0.0322405251342657
"bau","1st",2,715,0.000419502607297217,0.0368045049468531,2003.63724930669,0.0690450300811189
"bau","1st",3,715,0.000369446458570075,0.0309037320503497,1682.39917282104,0.0999487621314685
"bau","1st",4,715,0.000533115151414324,0.043988980648951,2394.76010652889,0.14393774278042
"bau","1st",5,715,0.000607958404082498,0.0489597529986014,2665.36895324386,0.192897495779021
"bau","1st",6,715,0.0006978548079173,0.0584370108937063,3181.31087305337,0.251334506672727
"bau","1st",7,715,0.000524007589908686,0.0399382379314685,2174.23767298915,0.291272744604196
"bau","1st",8,715,0.000383766023162208,0.0296125054181818,1612.10479496582,0.320885250022378
"bau","1st",9,715,0.000258935017859539,0.0209596850797203,1141.04525573997,0.341844935102098
"bau","1st",10,715,0.000175495280755801,0.0150388298055944,818.713894616559,0.356883764907692
"bau","1st",11,715,0.000247645465022375,0.0224311514195804,1221.15188328196,0.379314916327273
"bau","1st",12,715,0.000241380051449381,0.0207785739342657,1131.18556498143,0.400093490261538
"bau","1st",13,715,0.000352670693075909,0.0290892762265734,1583.62019777466,0.429182766488112
"bau","1st",14,715,0.000295428628863999,0.0225566427832168,1227.98363311832,0.451739409271329
"bau","1st",15,715,0.000260625417259675,0.0223445381958042,1216.43665937958,0.474083947467133
"bau","1st",16,715,0.000216817247986124,0.017735246765035,965.506833888503,0.491819194232168
"bau","1st",17,715,0.000173553834673988,0.0132925797146853,723.648039667469,0.505111773946853
"bau","1st",18,715,0.000212521926965056,0.0160552455846154,874.047569626461,0.521167019531468
"bau","1st",19,715,0.000255996866643938,0.0188869045398601,1028.20308314999,0.540053924071329
"bau","1st",20,715,0.000291202172032866,0.0213136362181818,1160.31435571782,0.561367560289511
"bau","1st",21,715,0.000213408030909509,0.0168086568251748,915.063277562518,0.578176217114685
"bau","1st",22,715,0.000199040805856656,0.0140237740377622,763.454258615776,0.592199991152448
"bau","1st",23,715,0.000132393284923862,0.00986333056223776,536.959715808224,0.602063321714685
"bau","1st",24,715,0.00012713791187813,0.0108324527286713,589.718726548867,0.612895774443357
"bau","1st",25,715,0.000105007690098795,0.00878500382937063,478.255608470937,0.621680778272727
"bau","1st",26,715,0.000135347527479852,0.00977972752167832,532.408366280168,0.631460505794406
"bau","1st",27,715,0.000159005682967575,0.0134222331622378,730.706373352224,0.644882738956643
"bau","1st",28,715,0.00014587161402278,0.0110624344629371,602.238932162294,0.65594517341958
"bau","1st",29,715,0.000121603738262618,0.00851052026153846,463.312723038154,0.664455693681119
"bau","1st",30,715,9.40497386982081e-05,0.00849583125314685,462.513053421315,0.672951524934266
"bau","1st",31,715,8.10451075161388e-05,0.00682226186013986,371.403935666014,0.679773786794406
"bau","1st",32,715,8.00272708243464e-05,0.00654660416083916,356.397130516084,0.686320390955245
"bau","1st",33,715,0.000109440450622322,0.00862434105034965,469.509126781035,0.694944732005594
"bau","1st",34,715,0.00012261860661973,0.0103783277692308,564.996163756923,0.705323059774825
"bau","1st",35,715,9.67456583313389e-05,0.0075457400965035,410.79009085365,0.712868799871329
"bau","1st",36,715,9.59977456870375e-05,0.00746546103776224,406.419698895776,0.720334260909091
"bau","1st",37,715,9.48237154003255e-05,0.00815864638601399,444.156709254601,0.728492907295105
"bau","1st",38,715,5.91117702259257e-05,0.00546463594125874,297.494780642126,0.733957543236364
"bau","1st",39,715,5.10261554764176e-05,0.00411663578601399,224.109652190601,0.738074179022378
"bau","1st",40,715,0.000104001744700687,0.0083226513048951,453.08513703849,0.746396830327273
"bau","1st",41,715,0.000118945947796012,0.0103919793412587,565.739355338126,0.756788809668531
"bau","1st",42,715,7.59049664042263e-05,0.00545108939300699,296.757306555301,0.762239899061538
"bau","1st",43,715,7.13055265065992e-05,0.00495397174685315,269.694221898685,0.767193870808392
"bau","1st",44,715,6.04272716641712e-05,0.00450220193566434,245.099873377566,0.771696072744056
"bau","1st",45,715,5.52537195206501e-05,0.00533225258461538,290.287830706462,0.777028325328671
"bau","1st",46,715,4.53826947851023e-05,0.00371805606573427,202.410972218573,0.780746381394406
"bau","1st",47,715,8.10843762041111e-05,0.00613814126153846,334.160410278154,0.786884522655944
"bau","1st",48,715,8.69742823304913e-05,0.00741070984475524,403.439043948476,0.794295232500699
"bau","1st",49,715,8.56956998663515e-05,0.00646104118881119,351.739082318881,0.800756273689511
"bau","1st",50,715,7.13388516909933e-05,0.00430948484895105,234.608355176895,0.805065758538462
"bau","1st",51,715,5.98302328396842e-05,0.00549613207272727,299.209430039273,0.810561890611189
"bau","1st",52,715,3.49238923376207e-05,0.00320381656083916,174.415773572084,0.813765707172028
"bau","1st",53,715,5.92974732322372e-05,0.00444009725734266,241.718894689734,0.818205804429371
"bau","1st",54,715,7.4706770513836e-05,0.00528032212587413,287.460736532587,0.823486126555245
"bau","1st",55,715,9.91997163271536e-05,0.00816629211468532,444.572942723469,0.83165241866993
"bau","1st",56,715,9.2091333944667e-05,0.00667903812447552,363.606835496448,0.838331456794406
"bau","1st",57,715,6.36495740574698e-05,0.00543229126433566,295.733936430434,0.843763748058741
"bau","1st",58,715,5.85490512565431e-05,0.00439078628391608,239.034405296392,0.848154534342657
"bau","1st",59,715,5.35474422119617e-05,0.00518520617062937,282.282623929063,0.853339740513287
"bau","1st",60,715,5.30382419115069e-05,0.00416021824055944,226.482281016056,0.857499958753846
"bau","1st",61,715,5.95645829656865e-05,0.00518415456923077,282.225374748923,0.862684113323077
"bau","1st",62,715,9.02039209365073e-05,0.00696667252167832,379.265652080168,0.869650785844755
